Account,TweetsPerDay,SimilarTweets,AccountType
iKaMaL95,40,35,User
ikhtra3_w_ibda3,3,52,User
ilyasBouazizOf,2,6,User
im_wedd,28,8,User
ImageToMedia,5,973,User
ImCriZma,2,0,User
Imennaahmed,15,327,User
Immigrant_32,2,57,User
iModiii_,19,30,User
iMony_,12,400,User
iMOomeN,5,153,User
iNa3eem,40,4,User
indirectto,2,24,User
indonesiaNews13,16,107,User
Ines_ilias,33,11,User
iNorma97,1,646,User
InteriorsGroup,2,34,User
INTMUZZIC,100,4565,User
io8812,10,11,User
Iosonoegiziana,1,0,User
IPLSales,5,177,User
ipo0876,4,44,User
iron_lady7,22,48,User
iRT4aLL,6,46,User
iRT4G,10,24,User
isamlat,18,11,User
iSaudMohh,1,1,User
isgKharj,20,280,User
islAamahmeEd,12,2,User
islam_mac,15,5357,User
islam_sa3eed,1,0,User
IslamMoheb3,66,173,User
islamsultan80,2,165,User
isobar11,100,9,User
Isooooooooo96,7,3,User
Issa_Alnasser,3,0,User
Its__Ghada,99,3,User
itsMaleThoughts,2,211,User
itzdi7,5,2,User
Ix_407,2,2,User
IYaraII,15,4,User
J5_kw,66,18,User
Jaddid7,8,3,User
jaelitoalay,2,29,User
JaimeSotoMuoz1,15,38,User
JAlnbhan,28,110,User
jalwi_alosaimi,8,8,User
JanThomasTirri,1,5,User
JaSmin_EbRahiM,3,0,User
jassmen_khaled,4,1,User
jassmine66,2,0,User
JassmineHady,5,6,User
JasSuJu,6,0,User
jazanhotels,1,7,User
JEELIINAA,100,39,User
jelosuhejog,49,3766,User
jemy_meen,13,79,User
JerryRoselin,2,0,User
jet_dynamics,1,62,User
JeunesseJP,2,353,User
jnobe_,13,29,User
jodi33_jodi,1,154,User
jody200045,10,18145,User
JoffreysThrone,2,0,User
johanbreezy1,5,31,User
johnhawkins111,5,0,User
joj___o,12,3,User
jojoatef11,66,18,User
JojosabahJs,1,15,User
JojoSoso123435,22,2,User
Jomanasheriff,2,8,User
joy_youssef,3,2,User
jstrgalope,25,8,User
jswx_eart1,4,31,User
juancdula,20,20,User
JuanCmg12,50,43,User
JUANJOSEMOLINA,18,12,User
JustDriveItCars,1,198,User
JUSTIMATA,2,17,User
jydykyhelite,49,3857,User
k2_966,6,2,User
k6765g,5,1644,User
k6w,1,6,User
K911O,1,1,User
K_ag4,18,1,User
k_dwaas,50,23,User
k_ksassur,8,43,User
ka8eem,24,2,User
kabo3001,200,900,User
kaboailcom1,5,15,User
KadincaRTler,40,18,User
KaifiiBlog,1,0,User
kaledabgale,5,714,User
Kalilm366Khalil,2,2,User
kalkhaldi911,5,1,User
Kalmhrzii,14,1,User
kamalalenezi,1,3,User
KamelElsmadony,66,5,User
kanae_uea1,9,85,User
kar5111,6,7,User
karar_gah,9,0,User
kareeem_3adel,100,13,User
kareem_msm,2,3,User
karem_zaid,4,3,User
karemTaki,1,0,User
karim_Abuel3la,66,2,User
Karim_Ahmeed,22,0,User
Karim_o_vic,50,4,User
karimesmat78,2,0,User
Karimmuhmed,20,9,User
karrarqwtyopka1,3,17,User
katerinakakeesh,28,223,User
katz_q8,3,10,User
KawagaEl,1,0,User
Kaymakcalan2,11,0,User
kBoT3FceG5rNsoq,10,11,User
keke_109,11,1,User
Kelekapili,2,11,User
kelef13981,18,5,User
Kellah1,50,12,User
KElshhawy,25,9,User
KemoAhlawy4,39,4,User
kepyqymamula,4,0,User
KerooAiad,21,0,User
Kettfusion,6,50,User
kfahadalsaud,3,4,User
khadija015431,66,3,User
khaled122093,100,330,User
khaled2240,1,27,User
Khaled__Aaa,4,3,User
khaledabdalham5,5,0,User
KhaledZidan17,50,1,User
khalid076312552,7,1,User
KhalidAfifi97,50,49,User
khalidalsair_7,50,54,User
Khaliedawaji312,6,19,User
khattabnada50,3,15,User
khlooddream,6,65,User
khokhafelefiluw,100,7,User
KholoD_Osama,22,1,User
khunien,8,496,User
Kikelkoko,3,1,User
kimbufrk,1,4,User
KiMoO0O0o,4,5,User
king_098,200,47,User
king_hetlar,6,112,User
KingSalman,1,6,User
KingstonWoods,2,39,User
kirei_opai,33,1296,User
kirolos_sameh,13,37,User
kisho4ever,28,190,User
Kitoos_3ssa,4,13,User
Kjhgf1243,2,0,User
kk77__xx,22,57,User
kkoo194,1,0,User
klamrejal,4,3,User
klamzan,4,0,User
